keychild register speakers largetotalperchildreg sumperSpeakerChild average.1 average.2 session total.x largetotalperchildkey total.y nb_utt percentage percentageperSpeakerRegisterChild
Litlhare ADS mother   49 5493  0.72  0.69 Litlhare-020900ab.cha 618 12669 618   4   0.6472492  0.386770858
Litlhare ADS mother   49 5493  0.72  0.69 Litlhare-020100ab.cha 912 12669 912  22   2.4122807  0.386770858
Litlhare CDS adult  261  340  3.91  4.60 Litlhare-020400cd.cha 505 12669 505   4   0.7920792  2.060146815
Litlhare CDS adult  261  340  3.91  4.60 Litlhare-030200cd.cha 804 12669 804  11   1.3681592  2.060146815
Litlhare CDS adult  261  340  3.91  4.60 Litlhare-020600cd.cha 589 12669 589   1   0.1697793  2.060146815
Litlhare CDS adult  261  340  3.91  4.60 Litlhare-020600ab.cha 645 12669 645  27   4.1860465  2.060146815
Litlhare CDS adult  261  340  3.91  4.60 Litlhare-020500ef.cha 310 12669 310  52  16.7741935  2.060146815
Litlhare CDS adult  261  340  3.91  4.60 Litlhare-030000ab.cha 434 12669 434   6   1.3824885  2.060146815
Litlhare CDS adult  261  340  3.91  4.60 Litlhare-020500ab.cha 500 12669 500  27   5.4000000  2.060146815
Litlhare CDS adult  261  340  3.91  4.60 Litlhare-030200ab.cha 788 12669 788  10   1.2690355  2.060146815
Litlhare CDS adult  261  340  3.91  4.60 Litlhare-020500cd.cha 479 12669 479  43   8.9770355  2.060146815
Litlhare CDS adult  261  340  3.91  4.60 Litlhare-021000ab.cha 749 12669 749  11   1.4686248  2.060146815
Litlhare CDS adult  261  340  3.91  4.60 Litlhare-020100ab.cha 912 12669 912  40   4.3859649  2.060146815
Litlhare CDS adult  261  340  3.91  4.60 Litlhare-020800cd.cha 345 12669 345   2   0.5797101  2.060146815
Litlhare CDS adult  261  340  3.91  4.60 Litlhare-020200ab.cha 662 12669 662  27   4.0785498  2.060146815
Litlhare CDS child 6162 6836 49.77 30.15 Litlhare-020400ab.cha 899 12669 899 332  36.9299221 48.638408714
Litlhare CDS child 6162 6836 49.77 30.15 Litlhare-021000cd.cha 360 12669 360 322  89.4444444 48.638408714
Litlhare CDS child 6162 6836 49.77 30.15 Litlhare-030000cd.cha 667 12669 667 302  45.2773613 48.638408714
Litlhare CDS child 6162 6836 49.77 30.15 Litlhare-020400cd.cha 505 12669 505 299  59.2079208 48.638408714
Litlhare CDS child 6162 6836 49.77 30.15 Litlhare-020900cd.cha  61 12669  61  20  32.7868852 48.638408714
Litlhare CDS child 6162 6836 49.77 30.15 Litlhare-020100ab.cha 912 12669 912 443  48.5745614 48.638408714
Litlhare CDS child 6162 6836 49.77 30.15 Litlhare-020800ab.cha 410 12669 410 393  95.8536585 48.638408714
Litlhare CDS child 6162 6836 49.77 30.15 Litlhare-030200ab.cha 788 12669 788 263  33.3756345 48.638408714
Litlhare CDS child 6162 6836 49.77 30.15 Litlhare-020200cd.cha 407 12669 407  99  24.3243243 48.638408714
Litlhare CDS child 6162 6836 49.77 30.15 Litlhare-030000ab.cha 434 12669 434 144  33.1797235 48.638408714
Litlhare CDS child 6162 6836 49.77 30.15 Litlhare-021000ab.cha 749 12669 749 717  95.7276368 48.638408714
Litlhare CDS child 6162 6836 49.77 30.15 Litlhare-020500ab.cha 500 12669 500 445  89.0000000 48.638408714
Litlhare CDS child 6162 6836 49.77 30.15 Litlhare-020100ef.cha 767 12669 767 511  66.6232073 48.638408714
Litlhare CDS child 6162 6836 49.77 30.15 Litlhare-020800cd.cha 345 12669 345 342  99.1304348 48.638408714
Litlhare CDS child 6162 6836 49.77 30.15 Litlhare-020500ef.cha 310 12669 310   1   0.3225806 48.638408714
Litlhare CDS child 6162 6836 49.77 30.15 Litlhare-020900ab.cha 618 12669 618 326  52.7508091 48.638408714
Litlhare CDS child 6162 6836 49.77 30.15 Litlhare-020600cd.cha 589 12669 589 197  33.4465195 48.638408714
Litlhare CDS child 6162 6836 49.77 30.15 Litlhare-020500cd.cha 479 12669 479 333  69.5198330 48.638408714
